,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.24,0.00
,1,1000,0.24,4.15
,2,1000,0.24,8.34
,4,1000,0.24,16.56
,8,1000,0.24,32.83
,16,1000,0.25,64.53
,32,1000,0.25,125.67
,64,1000,0.26,250.46
,128,1000,0.27,481.67
,256,1000,0.30,862.16
,512,1000,0.43,1197.18
,1024,1000,0.46,2239.22
,2048,1000,0.61,3340.84
,4096,1000,0.86,4760.72
,8192,1000,1.42,5781.94
,16384,1000,2.38,6882.69
,32768,1000,3.53,9289.53
,65536,640,5.73,11440.39
,131072,320,8.71,15041.38
,262144,160,15.06,17401.02
,524288,80,41.28,12699.52
,1048576,40,81.95,12795.58
,2097152,20,155.95,13447.55
,4194304,10,379.95,11039.10
,8388608,5,1142.97,7339.33
,16777216,2,2553.10,6571.32
,33554432,1,5871.82,5714.48
,67108864,1,11715.68,5728.12
,134217728,1,23522.63,5705.90
,268435456,1,48348.46,5552.10
