,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,1.05,0.00
,1,1000,1.04,0.96
,2,1000,1.06,1.89
,4,1000,1.05,3.80
,8,1000,1.05,7.64
,16,1000,1.05,15.25
,32,1000,1.06,30.12
,64,1000,1.19,53.56
,128,1000,1.23,104.10
,256,1000,1.47,174.70
,512,1000,1.53,334.00
,1024,1000,1.69,606.39
,2048,1000,2.32,884.00
,4096,1000,2.96,1381.62
,8192,1000,3.93,2085.44
,16384,1000,5.78,2835.72
,32768,1000,9.44,3472.93
,65536,640,12.25,5349.43
,131072,320,21.67,6047.66
,262144,160,32.37,8098.40
,524288,80,54.17,9679.05
,1048576,40,97.77,10725.24
,2097152,20,182.39,11498.35
,4194304,10,353.98,11848.94
,8388608,5,693.55,12095.20
,16777216,2,1382.24,12137.74
,33554432,1,2754.83,12180.24
,67108864,1,5489.03,12225.99
,134217728,1,11002.92,12198.38
,268435456,1,21921.10,12245.53
