,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.43,0.00
,1,1000,0.44,2.29
,2,1000,0.44,4.57
,4,1000,0.44,9.10
,8,1000,0.44,18.23
,16,1000,0.44,36.50
,32,1000,0.47,67.42
,64,1000,0.48,134.40
,128,1000,0.57,226.13
,256,1000,0.61,423.05
,512,1000,0.83,620.41
,1024,1000,0.88,1161.96
,2048,1000,1.06,1941.20
,4096,1000,1.49,2746.45
,8192,1000,1.95,4202.22
,16384,1000,3.26,5022.54
,32768,1000,5.00,6550.64
,65536,640,9.13,7176.44
,131072,320,17.72,7396.40
,262144,160,34.26,7650.89
,524288,80,82.22,6376.31
,1048576,40,166.66,6291.89
,2097152,20,330.27,6349.87
,4194304,10,655.63,6397.36
,8388608,5,1364.94,6145.75
,16777216,2,3719.31,4510.84
,33554432,1,7753.12,4327.86
,67108864,1,15592.41,4303.94
,134217728,1,31286.91,4289.90
,268435456,1,62261.26,4311.44
