,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.20,0.00
,1,1000,0.20,5.00
,2,1000,0.20,9.97
,4,1000,0.20,19.52
,8,1000,0.20,39.31
,16,1000,0.20,78.50
,32,1000,0.24,133.31
,64,1000,0.24,267.63
,128,1000,0.31,407.51
,256,1000,0.35,733.39
,512,1000,0.40,1291.49
,1024,1000,0.49,2079.22
,2048,1000,0.76,2700.84
,4096,1000,1.13,3627.13
,8192,1000,1.86,4396.15
,16384,1000,2.94,5581.05
,32768,1000,4.73,6933.31
,65536,640,8.03,8160.43
,131072,320,14.46,9064.36
,262144,160,12.75,20561.23
,524288,80,22.34,23468.55
,1048576,40,52.80,19859.08
,2097152,20,138.31,15162.35
,4194304,10,307.79,13627.06
