,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,4.91,0.00
,1,1000,4.97,0.20
,2,1000,4.97,0.40
,4,1000,4.96,0.81
,8,1000,4.97,1.61
,16,1000,4.97,3.22
,32,1000,4.96,6.45
,64,1000,4.97,12.87
,128,1000,5.04,25.40
,256,1000,5.09,50.31
,512,1000,5.12,100.06
,1024,1000,5.64,181.43
,2048,1000,5.49,373.19
,4096,1000,6.32,648.23
,8192,1000,6.70,1222.01
,16384,1000,8.87,1847.28
,32768,1000,14.17,2311.82
,65536,640,27.94,2345.47
,131072,320,40.16,3263.93
,262144,160,56.47,4642.37
,524288,80,87.76,5973.77
,1048576,40,148.80,7046.65
,2097152,20,284.99,7358.60
,4194304,10,590.91,7097.98
