,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.26,0.00
,1,1000,0.30,3.37
,2,1000,0.30,6.78
,4,1000,0.30,13.37
,8,1000,0.30,26.86
,16,1000,0.30,53.19
,32,1000,0.31,103.49
,64,1000,0.33,194.54
,128,1000,0.38,335.34
,256,1000,0.46,550.58
,512,1000,0.67,762.36
,1024,1000,0.75,1368.20
,2048,1000,0.88,2322.63
,4096,1000,1.82,2249.39
,8192,1000,2.09,3910.52
,16384,1000,2.55,6420.47
,32768,1000,3.47,9450.03
,65536,640,4.99,13137.51
,131072,320,7.76,16882.61
,262144,160,14.90,17595.16
,524288,80,31.96,16405.85
,1048576,40,83.76,12519.05
,2097152,20,201.38,10413.81
,4194304,10,433.29,9680.06
