,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,4.87,0.00
,1,1000,4.96,0.20
,2,1000,4.96,0.40
,4,1000,4.96,0.81
,8,1000,4.98,1.61
,16,1000,4.97,3.22
,32,1000,4.96,6.45
,64,1000,4.98,12.84
,128,1000,5.07,25.25
,256,1000,5.10,50.21
,512,1000,5.13,99.83
,1024,1000,5.67,180.61
,2048,1000,5.47,374.51
,4096,1000,6.38,642.34
,8192,1000,6.86,1194.27
,16384,1000,8.93,1835.57
,32768,1000,14.56,2249.87
,65536,640,27.99,2341.07
,131072,320,40.47,3238.40
,262144,160,56.66,4626.87
,524288,80,87.86,5967.36
,1048576,40,148.61,7055.88
,2097152,20,284.79,7363.79
,4194304,10,587.37,7140.88
,8388608,5,1459.32,5748.30
,16777216,2,3154.05,5319.27
,33554432,1,6341.18,5291.51
,67108864,1,12680.13,5292.44
,134217728,1,25235.82,5318.54
,268435456,1,50060.54,5362.22
