,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.99,0.00
,1,1000,0.99,1.01
,2,1000,1.00,2.00
,4,1000,1.01,3.98
,8,1000,0.99,8.07
,16,1000,1.00,16.07
,32,1000,1.01,31.76
,64,1000,1.14,55.94
,128,1000,1.19,107.54
,256,1000,1.42,180.34
,512,1000,1.49,343.59
,1024,1000,1.65,620.50
,2048,1000,2.32,884.15
,4096,1000,3.18,1287.03
,8192,1000,4.46,1836.28
,16384,1000,6.24,2626.66
,32768,1000,8.39,3904.95
,65536,640,12.23,5357.24
,131072,320,18.40,7123.62
,262144,160,31.97,8198.70
,524288,80,57.41,9133.08
,1048576,40,96.98,10812.45
,2097152,20,182.34,11501.46
,4194304,10,352.74,11890.71
,8388608,5,693.17,12101.82
,16777216,2,1382.70,12133.69
,33554432,1,2766.99,12126.71
,67108864,1,5523.44,12149.83
,134217728,1,11027.54,12171.14
,268435456,1,22081.00,12156.85
