,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,15.04,0.00
,1,1000,15.17,0.07
,2,1000,15.17,0.13
,4,1000,15.17,0.26
,8,1000,15.17,0.53
,16,1000,15.17,1.05
,32,1000,15.18,2.11
,64,1000,15.19,4.21
,128,1000,15.30,8.37
,256,1000,15.60,16.41
,512,1000,16.04,31.92
,1024,1000,16.51,62.01
,2048,1000,38.00,53.90
,4096,1000,38.41,106.65
,8192,1000,39.26,208.65
,16384,1000,40.94,400.20
,32768,1000,45.54,719.58
,65536,640,56.41,1161.75
,131072,320,104.05,1259.67
,262144,160,147.21,1780.78
,524288,80,224.94,2330.82
,1048576,40,361.57,2900.08
,2097152,20,648.09,3235.89
,4194304,10,1402.12,2991.40
,8388608,5,3073.40,2729.42
,16777216,2,6379.66,2629.80
,33554432,1,12845.30,2612.20
,67108864,1,25673.41,2613.94
,134217728,1,50435.07,2661.20
,268435456,1,99836.65,2688.75
