,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.99,0.00
,1,1000,0.99,1.02
,2,1000,0.99,2.01
,4,1000,0.99,4.03
,8,1000,0.99,8.09
,16,1000,0.99,16.12
,32,1000,1.01,31.70
,64,1000,1.16,54.97
,128,1000,1.21,105.92
,256,1000,1.43,178.77
,512,1000,1.51,339.79
,1024,1000,1.66,615.67
,2048,1000,2.31,885.50
,4096,1000,3.20,1279.63
,8192,1000,4.46,1835.22
,16384,1000,6.25,2622.16
,32768,1000,8.46,3874.42
,65536,640,12.34,5309.40
,131072,320,18.59,7051.38
,262144,160,31.97,8200.01
,524288,80,53.86,9734.76
,1048576,40,96.89,10822.26
,2097152,20,182.19,11510.70
,4194304,10,352.64,11893.93
