,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.41,0.00
,1,1000,0.41,2.41
,2,1000,0.41,4.85
,4,1000,0.42,9.50
,8,1000,0.41,19.33
,16,1000,0.42,38.44
,32,1000,0.56,57.33
,64,1000,0.56,114.15
,128,1000,0.89,143.20
,256,1000,0.98,260.02
,512,1000,1.16,441.54
,1024,1000,1.30,787.74
,2048,1000,2.10,974.18
,4096,1000,3.02,1356.34
,8192,1000,4.84,1693.64
,16384,1000,7.26,2257.15
,32768,1000,13.17,2488.52
,65536,640,24.22,2706.00
,131072,320,44.64,2936.16
,262144,160,13.19,19869.56
,524288,80,22.95,22847.99
,1048576,40,52.90,19822.25
,2097152,20,138.44,15148.19
,4194304,10,295.19,14208.95
