,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,8.02,0.00
,1,1000,8.05,0.12
,2,1000,8.09,0.25
,4,1000,8.07,0.50
,8,1000,8.02,1.00
,16,1000,8.04,1.99
,32,1000,8.04,3.98
,64,1000,8.06,7.94
,128,1000,8.45,15.15
,256,1000,8.47,30.24
,512,1000,8.49,60.34
,1024,1000,9.34,109.62
,2048,1000,9.01,227.38
,4096,1000,10.63,385.40
,8192,1000,11.55,709.55
,16384,1000,15.83,1035.04
,32768,1000,26.34,1244.25
,65536,640,58.48,1120.64
,131072,320,83.58,1568.30
,262144,160,125.67,2085.89
,524288,80,195.88,2676.60
,1048576,40,334.19,3137.63
,2097152,20,632.45,3315.94
,4194304,10,1237.38,3389.67
