,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.60,0.00
,1,1000,0.68,1.47
,2,1000,0.68,2.96
,4,1000,0.69,5.83
,8,1000,0.68,11.74
,16,1000,0.78,20.62
,32,1000,0.79,40.31
,64,1000,0.88,73.00
,128,1000,1.19,107.21
,256,1000,1.27,201.60
,512,1000,1.23,415.45
,1024,1000,1.45,707.91
,2048,1000,1.85,1104.97
,4096,1000,2.90,1413.89
,8192,1000,3.56,2297.97
,16384,1000,3.65,4484.89
,32768,1000,4.89,6705.27
,65536,640,5.84,11219.08
,131072,320,9.52,13762.31
,262144,160,15.73,16664.88
,524288,80,32.51,16126.56
,1048576,40,87.00,12052.53
,2097152,20,208.23,10071.23
,4194304,10,409.29,10247.72
